Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
depression_anxiety_stress,Data from an online survey that measures scales of depression anxiety and stress,http://openpsychometrics.org/_rawdata/,(2021). Depression Anxiety Stress Scales [dataset and codebook]. http://openpsychometrics.org/_rawdata/DASS_data_21.02.19.zip,,Public,CC BY 4.0,,LCM,,Health/Well-being,Unknown,Unknown,Affective Measures,Unknown,Unknown,Survey-based,Unknown,Unknown,Unknown
differences_spotting_study1,"Participants were asked to look at two similar pictures and identify (1) whether there were any differences between the photos, and (2) where the differences were. Participants were monetarily incentivized to spot the differences.",https://osf.io/s8qdk/,"Liu, J., Shen, Q., Zhang, J. et al. UnsolvableItemsSelection_Raw_CombinedSampleN=131 [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w",,,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
differences_spotting_study2,"Similar to study 1, participants were asked to identify areas of difference between two photos. Unlike study 1, there was no opportunity to cheat. Participants were monetarily incentivized to spot the differences.",https://osf.io/s8qdk/,"Liu, J., Shen, Q., Zhang, J. et al. SolvableItemsSelection_Summary_CombinedSampleN=135 [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w",,,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
differences_spotting_study3_die,Participants watched a die tossing video and asked to predict in advance which numbers the die would land on. Responses record whether their predictions were correct. Participants were monetarily incentivized to spot the differences.,https://osf.io/s8qdk/,"Liu, J., Shen, Q., Zhang, J. et al. DieGuessingTask_Raw [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w",,,,,LCM,,Unknown,Dichotomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
differences_spotting_study3_dots,"Participants were presented with a square bisected by a vertical line. Each side of the line had a certain number of dots, and participants were asked to identify which side had more dots. They were told that it was more difficult to assess the number of dots on the left side, and so the monetary reward for guessing the left panel was higher",https://osf.io/s8qdk/,"Liu, J., Shen, Q., Zhang, J. et al. DotsTask_Raw [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w",,,,,LCM,,Cognitive Skills,Dichotomous,Unknown,Cognitive Skills,Unknown,Unknown,Behavioral Task-based,Unknown,Unknown,Unknown
difNLR_msatb,Responses to Czech medical school admissions exam,https://cran.r-project.org/web/packages/difNLR/index.html,"Drabinova, A. & Martinkova, P. (2017). Detection of differential item functioning with nonlinear regression: A non-IRT approach accounting for guessing. Journal of Educational Measurement, 54(4), 498–517, doi: 10.1111/jedm.12158.",GPL-3,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Educational Ability,Dichotomous,Medical School Applicants,Cognitive Skills,Generalized Logistic Regression Models,Unknown,Test-based,Educational Assessment,Unknown,Czech Republic
digital_games_kentucky,Items from a digital games study to test the theory that fractions should be introduced to students mixed with whole numbers on the same line to demonstrate that they represent magnitudes of the same type of whole numbers,https://pslcdatashop.web.cmu.edu/Files?datasetId=445,"Lomas, D. (2011). Classroom: Exp1 - UCLA-Kentucky [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=445",,Private,,,LCM,,Educational Ability,Unknown,Students,Mathematics (Fractions),Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
ds14_mokken,DS14 responses from patients with coronary artery disease,https://cran.r-project.org/web/packages/mokken/index.html,"Denollet, J., Pedersen, S. S., Vrints, C. J., & Conraads, V. M. (2013). Predictive value of social inhibition and negative affectivity for cardiovascular events and mortality in patients with coronary artery disease: the Type D personality construct. Psychosomatic Medicine, 75, 873-981.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,,Unknown,Patients with coronary artery disease,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
duolingo__listen,Modeling of second language acquisition,http://sharedtask.duolingo.com/2018.html#task-definition-data,"Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO",,,,,BD,,Unknown,Unknown,Language Learners,Cognitive Skills,Unknown,Longitudinal,Behavioral Task-based,Educational Assessment,Unknown,Global
duolingo__reverse_tap,Modeling of second language acquisition,http://sharedtask.duolingo.com/2018.html#task-definition-data,"Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO",,,,,BD,,Educational Ability,Dichotomous,L2 learners,Cognitive Skills,Unknown,Unknown,Behavioral Task-based,Educational Assessment,Unknown,Global
duolingo__reverse_translate,Modeling of second language acquisition,http://sharedtask.duolingo.com/2018.html#task-definition-data,"Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO",,,,,BD,,Educational Ability,Dichotomous,Second Language Learners,Cognitive Skills,Unknown,Longitudinal,Behavioral Task-based,Educational Assessment,Unknown,Global
duval4,Data from Lexile tasks given to 4th graders,,"Kyngdon, A. (2011). Plausible measurement analogies to some psychometric models of test performance. British Journal of Mathematical & Statistical Psychology, 64(3), 478–497.",,Private,,,BD,,Educational Ability,Unknown,K-12 Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
duval8,Data from Lexile tasks given to 8th graders,,"Kyngdon, A. (2011). Plausible measurement analogies to some psychometric models of test performance. British Journal of Mathematical & Statistical Psychology, 64(3), 478–497.",,Private,,,BD,,Educational Ability,Unknown,8th Graders,Reading Comprehension,Unknown,Unknown,Test-based,Educational Assessment,Lexile Tasks,Unknown
elpi_ninos_2017,"Data on Chilean youths' feelings and self-evaluations of social belonging, academic performance, ambitions, technology use, etc. (3rd round of longitudinal study)",http://observatorio.ministeriodesarrollosocial.gob.cl/elpi-tercera-ronda,,,,,,LCM,,Developmental Psychology,Unknown,Chilean Youths,"Social Belonging, Academic Performance, Ambitions, Technology Use",Unknown,Longitudinal,Survey-based,Developmental Assessment,Unknown,Chile
emotion_pcmrs,Emotional reactivity from the Freiburg Complaint Checklist,https://cran.r-project.org/web/packages/PCMRS/index.html,"ZPID (2013). PsychData of the Leibniz Institute for Psychology Information ZPID. Trier: Center
for Research Data in Psychology.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Emotional Reactivity,Polytomous,Unknown,Affective Measures,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
empathizing_systemizing,"Data from an interactive online version of a combined set of Simon Baron-Cohen's Empathizing and Systemizing Quotients, which asks participants how much they agree with statements of empathizing and perceiving behaviors",http://openpsychometrics.org/_rawdata/,Empathizing-Systemizing Test [dataset and codebook. http://openpsychometrics.org/_rawdata/EQSQ.zip,,Public,CC BY 4.0,,LCM,,Personality Traits,Continuous,Adults,Affective Measures,Unknown,Unknown,Test-based,Educational Assessment,Likert Scale,Global
enem_2013_1mil_ch,Data from the natural science portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
enem_2013_1mil_cn,Data from the social science portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazilian
enem_2013_1mil_lc,Data from the language portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
enem_2013_1mil_mt,Data from the mathematics portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazilian
enem_2014_1mil_ch,Data from the natural science portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,,Educational Ability,unknown,unknown,Cognitive Skills,unknown,unknown,unknown,Educational Assessment,unknown,Brazilian
enem_2014_1mil_cn,Data from the social science portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazilian
enem_2014_1mil_lc,Data from the language portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazilian
enem_2014_1mil_mt,Data from the mathematics portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Brazilian
enem_2015_1mil_ch,Data from the natural science portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Brazilian
enem_2015_1mil_cn,Data from the social science portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazilian
enem_2015_1mil_lc,Data from the language portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Brazilian
enem_2015_1mil_mt,Data from the mathematics portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Brazilian
