_key,Evaluator,"Decision
Yes=start github issue
10.7910/dvn/mf6nzg,,,dataverse,Replication data for: Breastfeeding and Children's Early Cognitive Outcomes,https://doi.org/10.7910/DVN/MF6NZG,10.7910/dvn/mf6nzg,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Web Appendix Table 8. REStat paper, ""Breastfeeding and Children\'s Early Cognitive Outcomes""', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11']",,,,,bfpresvalrev.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/28447,,,dataverse,Political Attitudes Develop Independently of Personality Traits,https://doi.org/10.7910/DVN/28447,10.7910/dvn/28447,human_review,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['id\taal01\taal02\taal03\taal04\taal05\taal06\taal07\taal08\taco01\taco02\taco03\taco04\taco05\taco06\taco07\taco08\tamo01\tamo02\tamo03\tamo04\tamo05\tamo06\tamo07\tamo08\tasf01\tasf02\tasf03\tasf04\tasf05\tasf06\tasf07\tasf08\tatm01\tatm02\tatm03\tatm,,,,,Adol.csv,3,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/feduc.2018.00026.s001,,,figshare,Table_1_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_1_Changing_Students_Minds_and_Achievement_in_Mathematics_The_Impact_of_a_Free_Online_Student_Course_XLSX/6182012,10.3389/feduc.2018.00026.s001,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']",,,,,Table_1_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/feduc.2018.00026.s002,,,figshare,Table_2_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_2_Changing_Students_Minds_and_Achievement_in_Mathematics_The_Impact_of_a_Free_Online_Student_Course_XLSX/6182015,10.3389/feduc.2018.00026.s002,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12']",,,,,Table_2_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/feduc.2018.00026.s005,,,figshare,Table_5_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_5_Changing_Students_Minds_and_Achievement_in_Mathematics_The_Impact_of_a_Free_Online_Student_Course_XLSX/6182024,10.3389/feduc.2018.00026.s005,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']",,,,,Table_5_Changing Students Minds and Achievement in Mathematics: The Impact of a Free Online Student Course.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Table_1_Music training is related to late ERP modulation and enhanced performance during Simon task but not Stroop task.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_1_Music_training_is_related_to_late_ERP_modulation_and_enhanced_performance_during_Simon_task_but_not_Stroop_task_XLSX/25661922,10.3389/fnhum.2024.1384179.s001,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed: 16', 'Unnamed",,,,,Table_1_Music training is related to late ERP modulation and enhanced performance during Simon task but not Stroop task.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Intervention Study: knowledge enrichment, semantic organization and reading comprehension",https://kilthub.cmu.edu/articles/dataset/Intervention_Study_knowledge_enrichment_semantic_organization_and_reading_comprehension/7761965,10.1184/r1/7761965.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Version' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Version', 'Qnum', 'QID', 'Correct']",,,,,code2corr.csv,5,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Correlation matrix for perceived task load in the cognitive task battery and flanker task.,https://plos.figshare.com/articles/dataset/Correlation_matrix_for_perceived_task_load_in_the_cognitive_task_battery_and_flanker_task_/24009578,10.1371/journal.pone.0289428.t002,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', '1', '2', '3', '4']",,,,,Table 2.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Data_Sheet_1_Intergenerational longitudinal associations between parental reading/musical traits, infants’ auditory processing, and later phonological awareness skills.xlsx",https://frontiersin.figshare.com/articles/dataset/Data_Sheet_1_Intergenerational_longitudinal_associations_between_parental_reading_musical_traits_infants_auditory_processing_and_later_phonological_awareness_skills_xlsx/23707233,10.3389/fnins.2023.1201997.s001,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9']",,,,,"Data_Sheet_1_Intergenerational longitudinal associations between parental reading/musical traits, infants’ auditory processing, and later phonological.xlsx",0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Emotional Stroop Task - English Version,https://figshare.com/articles/dataset/Emotional_Stroop_Task_-_English_Version/21708593,10.6084/m9.figshare.21708593.v2,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Words', 'English Translation', 'Stimulus Type', 'Valence']",,,,,EST in English.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Table_1_Foreign Language Learning in Older Adults: Anatomical and Cognitive Markers of Vocabulary Learning Success.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_1_Foreign_Language_Learning_in_Older_Adults_Anatomical_and_Cognitive_Markers_of_Vocabulary_Learning_Success_XLSX/19316606,10.3389/fnhum.2022.787413.s002,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Italian', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Cantonese', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed: 16', 'English', 'U",,,,,Table_1_Foreign Language Learning in Older Adults: Anatomical and Cognitive Markers of Vocabulary Learning Success.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dataverse,Replication Data for Fighting fake news: Using peer discussion groups to build news media literacy,https://doi.org/10.7910/DVN/0IBAEC,10.7910/dvn/0ibaec,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: [' Which of these options best describes your level of interest in news headlines on most days? ', 'Think about a typical day.\xa0 Which of these options best describes your level of interest in news headlines on most days?\xa0\xa0Remember -- your respo",,,,,Figure 1 - level of interest in news headlines.xlsx,1,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Table_2_Randomized Controlled Trial of the Picture Book Reading Program on Cognitive Function in Middle-Aged People.XLSX,https://frontiersin.figshare.com/articles/dataset/Table_2_Randomized_Controlled_Trial_of_the_Picture_Book_Reading_Program_on_Cognitive_Function_in_Middle-Aged_People_XLSX/14615691,10.3389/fpsyt.2021.624487.s002,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7']",,,,,Table_2_Randomized Controlled Trial of the Picture Book Reading Program on Cognitive Function in Middle-Aged People.XLSX,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/xvv8dm,,,dataverse,Baseline survey questionnaire - OneCGIAR Agroecology Initiative - Zimbabwe,https://doi.org/10.7910/DVN/XVV8DM,10.7910/dvn/xvv8dm,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['type', 'name', 'label', 'required', 'choice_filter', 'relevant', 'appearance', 'constraint_message', 'constraint', 'default', 'calculation']",,,,,BASELINE SURVEY TOOL.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/el62uq,,,dataverse,Reproducibility Data: Two-Dimensional Rotation Ability Item Development,https://doi.org/10.7910/DVN/EL62UQ,10.7910/dvn/el62uq,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'age', 'sex', 'q_16001', 'q_16002', 'q_16003', 'q_16004', 'q_16005', 'q_16006', 'q_16007', 'q_16008', 'q_16009', 'q_16010', 'q_16011', 'q_16012', 'q_16013', 'q_16014', 'q_16015', 'q_16016', 'q_16017', 'q_16018', 'q_16019', 'q_16020', 'q_16",,,,,R2Ddata_07feb2017thru26feb2023.csv,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.26716459.v1,,,figshare,Additional file 1 of Validation of an elicited Imitation test as a measure of Korean language proficiency,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Validation_of_an_elicited_Imitation_test_as_a_measure_of_Korean_language_proficiency/26716459,10.6084/m9.figshare.26716459.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['EI test sentence stimuli list (number of syllables)', 'Unnamed: 1', 'Unnamed: 2']",,,,,40468_2024_287_MOESM1_ESM.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.22616542.v1,,,figshare,Additional file 1 of Transformation of Rasch model logits for enhanced interpretability,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Transformation_of_Rasch_model_logits_for_enhanced_interpretability/22616542,10.6084/m9.figshare.22616542.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Logit Transformations of Rasch Model Estimations' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Logit Transformations of Rasch Model Estimations', 'Unnamed: 1', 'Unname",,,,,12874_2022_1816_MOESM1_ESM.xlsx,0,cc-by-+-cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.22600766.v1,,,figshare,Additional file 3 of Developing the HLS19-YP12 for measuring health literacy in young people: a latent trait analysis using Rasch modelling and confirmatory factor analysis,https://springernature.figshare.com/articles/dataset/Additional_file_3_of_Developing_the_HLS19-YP12_for_measuring_health_literacy_in_young_people_a_latent_trait_analysis_using_Rasch_modelling_and_confirmatory_factor_analysis/22600766,10.6084/m9.figshare.22600766.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Table S3: Fit statistics for different factor structures applying confirmatory factor analyses of the HLS19-Q47', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7'] | license_unknown* — license 'cc-by-+-cc",,,,,12913_2022_8831_MOESM3_ESM.xlsx,0,cc-by-+-cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.22600760.v1,,,figshare,Additional file 1 of Developing the HLS19-YP12 for measuring health literacy in young people: a latent trait analysis using Rasch modelling and confirmatory factor analysis,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Developing_the_HLS19-YP12_for_measuring_health_literacy_in_young_people_a_latent_trait_analysis_using_Rasch_modelling_and_confirmatory_factor_analysis/22600760,10.6084/m9.figshare.22600760.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Table S1: Overall fit statistics applying unidimensional and multidimensional Rasch models of HLS19-Q47 and its short versions', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9",,,,,12913_2022_8831_MOESM1_ESM.xlsx,0,cc-by-+-cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/sgo4oj,,,dataverse,Replication Data for: Measuring public support for European integration using a Bayesian item response theory model,https://doi.org/10.7910/DVN/SGO4OJ,10.7910/dvn/sgo4oj,human_review,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Wide source file contains response-level column(s) ['date'] — cannot safely melt. Manual mapping required.,,,,,list of elections.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
